epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90103,3.15158,4.05469,2.36004,0.00194,0.55263,0.00214,0.00076,3.24721,4.43677,2.80249,8.335e-05,8.335e-05,8.335e-05
2,5.99326,2.9741,4.06933,2.21861,0.00137,0.52632,0.24933,0.02534,3.29158,4.42359,2.73521,0.000181555,0.000181555,0.000181555
3,7.95037,2.92499,3.98702,2.26374,0.00213,0.10526,0.01281,0.00461,2.97183,4.22959,2.49291,0.000277779,0.000277779,0.000277779
4,9.81131,2.82732,3.89065,2.14917,0.003,0.60526,0.0083,0.00191,2.98353,4.18087,2.50217,0.000372023,0.000372023,0.000372023
5,11.7153,2.78332,3.7414,2.0456,0.00156,0.07895,0.00895,0.00188,3.00285,4.14391,2.50268,0.000464286,0.000464286,0.000464286
6,13.5762,2.66856,3.82109,2.1411,0.00254,0.57895,0.01033,0.00257,2.90617,4.11589,2.42135,0.000554569,0.000554569,0.000554569
7,15.4704,2.71712,3.55528,2.00293,0.00199,0.55263,0.00732,0.00264,2.81125,4.21391,2.3713,0.000642872,0.000642872,0.000642872
8,17.3346,2.72804,3.42283,2.05135,0.00257,0.57895,0.03839,0.00596,2.86232,4.19403,2.33124,0.000729194,0.000729194,0.000729194
9,19.2061,2.63519,3.4043,1.98945,0.00115,0.05263,0.04468,0.01002,2.98884,4.18406,2.38348,0.000813536,0.000813536,0.000813536
10,21.1269,2.71815,3.42218,1.95299,0.00134,0.52632,0.00138,0.00029,3.09798,4.24496,2.51618,0.000895897,0.000895897,0.000895897
11,23.0193,2.59569,3.34796,2.00567,0.00195,0.55263,0.49905,0.05023,2.97246,4.21984,2.60759,0.000976279,0.000976279,0.000976279
12,24.8955,2.60646,3.1224,1.93268,0.00195,0.55263,0.00621,0.00062,2.82557,4.1874,2.67962,0.00105468,0.00105468,0.00105468
13,26.7596,2.60481,3.19392,1.96384,0.00447,0.65789,0.25417,0.02614,2.75567,3.99103,2.59,0.0011311,0.0011311,0.0011311
14,28.6849,2.61359,3.00692,1.84972,0.00252,0.57895,0.49886,0.05056,2.89453,4.00171,2.77269,0.00120554,0.00120554,0.00120554
15,30.6965,2.6495,3.07132,1.89408,0.00252,0.57895,0.49886,0.05056,2.89453,4.00171,2.77269,0.001278,0.001278,0.001278
16,32.6438,2.66305,3.26533,1.98592,0.00426,0.65789,0.00492,0.00088,3.06535,3.9733,3.03053,0.00134848,0.00134848,0.00134848
17,34.5863,2.76047,2.92872,1.94449,0.00203,0.10526,0.00271,0.00055,3.27387,3.96207,3.26438,0.00140295,0.00140295,0.00140295
18,36.553,2.53069,3.01265,2.00683,0.02194,0.02632,0.00984,0.00178,3.22208,3.93028,3.16729,0.00138644,0.00138644,0.00138644
19,38.486,2.58661,2.79652,1.84359,0.02194,0.02632,0.00984,0.00178,3.22208,3.93028,3.16729,0.00136994,0.00136994,0.00136994
20,40.443,2.62573,3.0228,1.97528,0.00366,0.60526,0.00832,0.00245,3.35924,4.01148,2.87227,0.00135344,0.00135344,0.00135344
21,42.3644,2.51251,3.25892,2.0588,0.00157,0.52632,0.01844,0.00369,3.42747,4.3582,3.06923,0.00133693,0.00133693,0.00133693
22,44.2942,2.66607,2.86055,1.91152,0.00041,0.5,0.00873,0.00262,3.69511,4.81401,3.28637,0.00132043,0.00132043,0.00132043
23,46.2198,2.58689,2.87962,1.89157,0.00041,0.5,0.00873,0.00262,3.69511,4.81401,3.28637,0.00130393,0.00130393,0.00130393
24,48.2772,2.5637,2.65352,1.85629,0.00043,0.5,0.00225,0.00033,3.79625,4.75898,3.173,0.00128742,0.00128742,0.00128742
25,50.2575,2.47039,2.7312,1.74057,0.0015,0.52632,0.00254,0.00052,3.70389,5.27971,3.08085,0.00127092,0.00127092,0.00127092
26,52.224,2.57439,2.8759,1.89449,0.00088,0.5,0.00602,0.00095,3.30015,4.71959,2.70579,0.00125442,0.00125442,0.00125442
27,54.1297,2.57983,2.87893,1.85119,0.00088,0.5,0.00602,0.00095,3.30015,4.71959,2.70579,0.00123791,0.00123791,0.00123791
28,56.0924,2.38364,2.71571,1.84914,0.50347,0.5,0.01107,0.00278,3.26523,5.20832,2.54607,0.00122141,0.00122141,0.00122141
29,58.0736,2.48707,2.72872,1.90903,0.00623,0.5,0.01109,0.00319,3.35216,5.65599,2.63644,0.00120491,0.00120491,0.00120491
30,60.0937,2.44512,2.68098,1.80522,0.54434,0.5,0.07987,0.01633,3.18239,5.32756,2.44761,0.0011884,0.0011884,0.0011884
31,62.0272,2.37299,2.47576,1.78508,0.54434,0.5,0.07987,0.01633,3.18239,5.32756,2.44761,0.0011719,0.0011719,0.0011719
32,64.0682,2.41455,2.70611,1.82387,0.69594,0.5,0.25495,0.0279,3.14855,4.88453,2.43088,0.0011554,0.0011554,0.0011554
33,66.1081,2.4822,2.86684,1.84608,0.03507,0.52632,0.09305,0.02801,3.10623,4.49564,2.57607,0.00113889,0.00113889,0.00113889
34,68.1581,2.37062,2.64069,1.76082,0.04279,0.57895,0.08857,0.03258,3.27197,4.07541,2.75637,0.00112239,0.00112239,0.00112239
35,70.0939,2.3428,2.41297,1.69506,0.04279,0.57895,0.08857,0.03258,3.27197,4.07541,2.75637,0.00110589,0.00110589,0.00110589
36,72.1311,2.31121,2.51111,1.80799,0.03282,0.5,0.1005,0.0198,3.29671,4.02924,2.88297,0.00108938,0.00108938,0.00108938
37,74.1335,2.3131,2.55214,1.77813,0.06752,0.05263,0.04361,0.01093,3.20473,3.9298,2.79402,0.00107288,0.00107288,0.00107288
38,76.1534,2.29774,2.61388,1.81548,0.09716,0.5685,0.06336,0.00884,3.15644,3.81552,2.74879,0.00105638,0.00105638,0.00105638
39,78.1835,2.27589,2.56362,1.77512,0.09716,0.5685,0.06336,0.00884,3.15644,3.81552,2.74879,0.00103987,0.00103987,0.00103987
40,80.2211,2.31144,2.59293,1.8397,0.10076,0.55263,0.1851,0.0261,3.10536,3.85873,2.78207,0.00102337,0.00102337,0.00102337
41,82.2423,2.38565,2.76118,1.86346,0.00712,0.60526,0.0401,0.00772,3.0062,4.04015,2.73976,0.00100687,0.00100687,0.00100687
42,84.2249,2.28005,2.42527,1.72999,0.03615,0.02632,0.05643,0.01145,3.11248,3.85994,2.71903,0.000990365,0.000990365,0.000990365
43,86.2185,2.27799,2.53265,1.78725,0.03615,0.02632,0.05643,0.01145,3.11248,3.85994,2.71903,0.000973861,0.000973861,0.000973861
44,88.2261,2.211,2.47315,1.76519,0.10212,0.07895,0.06642,0.01446,3.05437,3.78184,2.61209,0.000957358,0.000957358,0.000957358
45,90.2799,2.18173,2.29044,1.71541,0.06548,0.55263,0.05354,0.01622,3.08255,3.7945,2.5532,0.000940855,0.000940855,0.000940855
46,92.2763,2.19179,2.54554,1.86757,0.07423,0.52632,0.05985,0.02338,3.12498,3.97523,2.55019,0.000924352,0.000924352,0.000924352
47,94.2766,2.36401,2.50275,1.75051,0.07423,0.52632,0.05985,0.02338,3.12498,3.97523,2.55019,0.000907848,0.000907848,0.000907848
48,96.2915,2.18985,2.32144,1.70233,0.15456,0.5,0.25433,0.12574,3.12317,4.0827,2.63069,0.000891345,0.000891345,0.000891345
49,98.3719,2.30326,2.55882,1.79767,0.95165,0.5,0.50265,0.2495,3.22253,3.83216,2.77431,0.000874842,0.000874842,0.000874842
50,100.37,2.156,2.37846,1.74029,0.96921,0.5,0.49946,0.24914,3.26771,3.86067,2.8385,0.000858338,0.000858338,0.000858338
51,102.446,2.20508,2.36221,1.77282,0.96921,0.5,0.49946,0.24914,3.26771,3.86067,2.8385,0.000841835,0.000841835,0.000841835
52,104.471,2.24609,2.36521,1.79603,0.96064,0.5,0.50157,0.19973,3.27133,3.78743,2.89986,0.000825332,0.000825332,0.000825332
53,106.571,2.12927,2.27734,1.69857,0.93699,0.5,0.50709,0.20553,3.21527,3.76467,2.78999,0.000808828,0.000808828,0.000808828
54,108.682,2.09324,2.05939,1.61197,0.83238,0.5,0.50798,0.30087,3.19853,3.82541,2.68108,0.000792325,0.000792325,0.000792325
55,110.801,2.26103,2.2431,1.7315,0.83238,0.5,0.50798,0.30087,3.19853,3.82541,2.68108,0.000775822,0.000775822,0.000775822
56,112.963,2.02527,2.17447,1.72903,0.92272,0.5,0.50076,0.29942,3.0958,4.0062,2.58633,0.000759318,0.000759318,0.000759318
57,115.003,2.17898,2.13421,1.64208,0.74645,0.5,0.50291,0.25008,2.99011,3.84942,2.45318,0.000742815,0.000742815,0.000742815
58,117.046,2.11587,2.31756,1.64584,0.75617,0.5,0.50441,0.22527,2.92826,3.62343,2.37048,0.000726312,0.000726312,0.000726312
59,119.062,2.19703,2.15096,1.58237,0.75617,0.5,0.50441,0.22527,2.92826,3.62343,2.37048,0.000709809,0.000709809,0.000709809
60,121.148,2.28065,2.45474,1.79936,0.73843,0.5,0.5105,0.20128,3.01236,3.54051,2.38503,0.000693305,0.000693305,0.000693305
61,123.201,1.96139,2.0842,1.61696,0.662,0.5,0.25865,0.10999,3.15743,3.57877,2.52992,0.000676802,0.000676802,0.000676802
62,125.367,2.0452,2.1424,1.60589,0.62659,0.5,0.17574,0.10135,3.0558,3.73565,2.51896,0.000660299,0.000660299,0.000660299
63,127.395,1.99779,1.96455,1.52349,0.62659,0.5,0.17574,0.10135,3.0558,3.73565,2.51896,0.000643795,0.000643795,0.000643795
64,129.52,2.05325,2.13167,1.67025,0.02363,0.5,0.17144,0.08404,3.00786,3.78081,2.49636,0.000627292,0.000627292,0.000627292
65,131.621,2.04814,2.16479,1.64339,0.5501,0.5,0.16849,0.04034,2.91085,3.854,2.46439,0.000610789,0.000610789,0.000610789
66,133.759,2.04049,2.06214,1.58769,0.59499,0.5,0.25183,0.03994,2.90067,3.93544,2.42525,0.000594286,0.000594286,0.000594286
67,135.843,2.02191,1.96618,1.58234,0.59499,0.5,0.25183,0.03994,2.90067,3.93544,2.42525,0.000577782,0.000577782,0.000577782
68,138.034,1.94934,2.00851,1.53613,0.02286,0.5,0.08616,0.02515,2.92186,3.95497,2.43979,0.000561279,0.000561279,0.000561279
69,140.169,1.99254,2.00392,1.58535,0.61927,0.5,0.50147,0.20006,3.00869,3.87196,2.54303,0.000544776,0.000544776,0.000544776
70,142.286,2.00353,2.16916,1.60666,0.9112,0.5,0.50226,0.24996,3.01575,3.82282,2.57733,0.000528272,0.000528272,0.000528272
71,144.374,1.95458,2.03789,1.63334,0.9112,0.5,0.50226,0.24996,3.01575,3.82282,2.57733,0.000511769,0.000511769,0.000511769
72,146.471,2.02002,1.98873,1.55999,0.95065,0.5,0.50181,0.24976,3.0951,3.84215,2.68674,0.000495266,0.000495266,0.000495266
73,148.631,1.99338,1.94272,1.58919,0.961,0.5,0.49936,0.19952,3.21279,3.79019,2.78592,0.000478762,0.000478762,0.000478762
74,150.734,2.04641,2.04054,1.55018,0.95332,0.5,0.50093,0.20982,3.20406,3.77525,2.76536,0.000462259,0.000462259,0.000462259
75,152.934,1.84811,1.82859,1.47101,0.95332,0.5,0.50093,0.20982,3.20406,3.77525,2.76536,0.000445756,0.000445756,0.000445756
76,155.071,2.02245,1.99636,1.56018,0.43662,0.5,0.50319,0.20026,3.20341,3.73148,2.76913,0.000429253,0.000429253,0.000429253
77,157.198,1.96793,2.07087,1.66226,0.88739,0.5,0.50453,0.20073,3.18482,3.70847,2.72371,0.000412749,0.000412749,0.000412749
78,159.325,1.8341,1.97369,1.55707,0.79476,0.5,0.50785,0.20136,3.13765,3.77312,2.67563,0.000396246,0.000396246,0.000396246
79,161.391,1.91052,1.80087,1.48523,0.79476,0.5,0.50785,0.20136,3.13765,3.77312,2.67563,0.000379743,0.000379743,0.000379743
80,163.513,2.01642,1.89161,1.52698,0.84554,0.5,0.50959,0.20127,3.09958,3.70545,2.58199,0.000363239,0.000363239,0.000363239
81,165.594,1.89919,1.98919,1.52785,0.38798,0.5,0.50905,0.20119,3.0546,3.63332,2.53966,0.000346736,0.000346736,0.000346736
82,167.705,1.96618,1.85217,1.55615,0.34662,0.5,0.50628,0.20089,3.00146,3.70614,2.50277,0.000330233,0.000330233,0.000330233
83,169.766,1.88479,1.82182,1.48545,0.34662,0.5,0.50628,0.20089,3.00146,3.70614,2.50277,0.000313729,0.000313729,0.000313729
84,171.908,1.78096,1.87326,1.54138,0.21414,0.5,0.2577,0.10128,2.9582,3.76085,2.47811,0.000297226,0.000297226,0.000297226
85,173.982,1.81409,1.8008,1.50083,0.22687,0.45374,0.25682,0.10085,2.95514,3.81408,2.44193,0.000280723,0.000280723,0.000280723
86,176.148,1.9022,2.01104,1.55554,0.69916,0.39832,0.25405,0.10076,2.97337,3.87191,2.45621,0.00026422,0.00026422,0.00026422
87,178.258,1.88614,1.81523,1.42268,0.69916,0.39832,0.25405,0.10076,2.97337,3.87191,2.45621,0.000247716,0.000247716,0.000247716
88,180.397,1.85558,1.73817,1.50682,0.23261,0.46521,0.25223,0.10045,3.01131,3.87514,2.52587,0.000231213,0.000231213,0.000231213
89,182.506,1.8855,1.98652,1.48632,0.17453,0.5,0.25213,0.10033,3.00779,3.83411,2.54005,0.00021471,0.00021471,0.00021471
90,184.686,1.80367,1.76387,1.42589,0.10693,0.5,0.50116,0.19983,3.05392,3.828,2.57907,0.000198206,0.000198206,0.000198206
91,191.978,1.98834,2.14095,1.5518,0.10693,0.5,0.50116,0.19983,3.05392,3.828,2.57907,0.000181703,0.000181703,0.000181703
92,194.114,1.77098,2.1874,1.52956,0.14078,0.5,0.25241,0.10039,3.03205,3.81166,2.56984,0.0001652,0.0001652,0.0001652
93,196.217,1.81693,2.01398,1.57555,0.20119,0.5,0.25231,0.10041,3.10683,3.77355,2.61204,0.000148696,0.000148696,0.000148696
94,198.358,1.8187,2.06266,1.55038,0.21551,0.5,0.25223,0.10057,3.09403,3.80212,2.62838,0.000132193,0.000132193,0.000132193
95,200.467,1.86533,2.04179,1.56525,0.21551,0.5,0.25223,0.10057,3.09403,3.80212,2.62838,0.00011569,0.00011569,0.00011569
96,202.711,1.73184,1.81535,1.48381,0.23332,0.5,0.25212,0.10014,3.09835,3.8612,2.6895,9.91865e-05,9.91865e-05,9.91865e-05
97,204.941,1.74913,2.13253,1.48866,0.22452,0.5,0.25201,0.10017,3.12466,3.83428,2.71053,8.26832e-05,8.26832e-05,8.26832e-05
98,207.224,1.86501,2.10006,1.50818,0.2308,0.5,0.25211,0.10031,3.13012,3.80398,2.69414,6.61799e-05,6.61799e-05,6.61799e-05
99,209.505,1.74866,1.86992,1.42458,0.2308,0.5,0.25211,0.10031,3.13012,3.80398,2.69414,4.96766e-05,4.96766e-05,4.96766e-05
